City_ID,City,Country,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,Date
91,Amalapuram,IN,80.17,16.5833,82.0167,82,100,6.93,2022-09-18 01:59:02
92,Rundu,NA,63.55,-17.9333,19.7667,28,0,5.93,2022-09-18 01:59:03
93,Baykit,RU,43.99,61.67,96.37,97,100,2.33,2022-09-18 01:56:09
94,Dingle,PH,86.07,10.9995,122.6711,70,82,11.1,2022-09-18 01:59:03
95,Narsaq,GL,49.26,60.9167,-46.05,64,100,9.55,2022-09-18 01:59:04
96,Matane,CA,54.84,48.8286,-67.522,66,100,13.8,2022-09-18 01:57:16
97,Hasaki,JP,86.29,35.7333,140.8333,83,60,19.15,2022-09-18 01:59:04
98,Leningradskiy,RU,33.22,69.3833,178.4167,99,100,19.26,2022-09-18 01:59:05
99,Lima,PE,60.91,-12.0432,-77.0282,81,100,16.11,2022-09-18 01:59:05
100,Hermanus,ZA,51.8,-34.4187,19.2345,75,100,1.68,2022-09-18 01:59:06
101,Lata,PT,65.07,40.1629,-8.3327,55,18,4.16,2022-09-18 01:59:06
102,Hamilton,US,71.67,39.1834,-84.5333,80,7,4.27,2022-09-18 01:54:12
103,Cape Town,ZA,55.11,-33.9258,18.4232,74,40,5.75,2022-09-18 01:59:07
104,Vardo,NO,46.38,70.3705,31.1107,93,100,18.41,2022-09-18 01:59:07
105,Bethel,US,66.56,41.3712,-73.414,84,7,3.0,2022-09-18 01:54:09
106,Vostok,RU,66.7,46.4856,135.8833,71,76,4.29,2022-09-18 01:59:08
107,Burns Lake,CA,56.62,54.2331,-125.7533,59,97,3.13,2022-09-18 01:59:08
108,Portland,US,68.79,45.5234,-122.6762,56,100,5.99,2022-09-18 01:56:32
109,Wunsiedel,DE,44.62,50.0333,12.0167,87,93,17.0,2022-09-18 01:59:09
110,Itoman,JP,82.4,26.1247,127.6694,94,75,31.07,2022-09-18 01:59:09
111,Tornio,FI,50.02,65.8481,24.1466,94,100,13.6,2022-09-18 01:59:09
112,Bay Roberts,CA,54.52,47.5999,-53.2648,72,100,5.99,2022-09-18 01:59:10
113,Port Blair,IN,80.64,11.6667,92.75,89,75,2.3,2022-09-18 01:59:10
114,Ilulissat,GL,38.89,69.2167,-51.1,92,100,3.65,2022-09-18 01:59:11
115,Rabo De Peixe,PT,71.11,37.8,-25.5833,78,75,2.3,2022-09-18 01:59:11
116,Arrecife,ES,75.18,28.963,-13.5477,78,0,11.5,2022-09-18 01:59:11
117,Tezu,IN,84.31,27.9167,96.1667,70,83,2.24,2022-09-18 01:55:25
118,Geraldton,AU,66.61,-28.7667,114.6,68,0,8.05,2022-09-18 01:59:12
119,New Norfolk,AU,57.92,-42.7826,147.0587,77,94,3.0,2022-09-18 01:59:12
120,Nome,US,48.27,64.5011,-165.4064,87,100,40.29,2022-09-18 01:59:13
121,Ouadda,CF,67.08,8.0777,22.4007,99,100,2.77,2022-09-18 01:59:13
122,Lebork,PL,51.93,54.5392,17.7501,99,53,6.6,2022-09-18 01:59:13
123,Vao,NC,73.56,-22.6667,167.4833,68,5,10.78,2022-09-18 01:59:14
124,Puerto Tejada,CO,73.35,3.2311,-76.4167,95,98,1.43,2022-09-18 01:59:14
125,Pangnirtung,CA,39.11,66.1451,-65.7125,75,23,4.5,2022-09-18 01:59:15
126,Mana,GF,79.47,5.6592,-53.7767,84,72,11.68,2022-09-18 01:59:15
127,Semey,KZ,41.22,50.4111,80.2275,65,0,2.24,2022-09-18 01:59:16
128,Harrismith,ZA,51.91,-28.2728,29.1295,46,5,2.44,2022-09-18 01:59:16
129,Rong Kwang,TH,82.44,18.339,100.3174,91,100,0.02,2022-09-18 01:59:16
130,Asmara,ER,60.51,15.3333,38.9333,63,51,0.83,2022-09-18 01:59:17
131,Kaitangata,NZ,56.82,-46.2817,169.8464,60,81,14.72,2022-09-18 01:59:17
132,Victoria,HK,91.33,22.2855,114.1577,76,18,5.01,2022-09-18 01:56:11
133,Husavik,IS,43.02,66.0449,-17.3389,73,39,6.58,2022-09-18 01:59:18
134,Tessalit,ML,88.09,20.1986,1.0114,33,76,11.7,2022-09-18 01:59:18
135,Kenora,CA,58.17,49.8167,-94.4337,100,75,2.3,2022-09-18 01:59:19
136,Salalah,OM,78.89,17.0151,54.0924,84,100,2.95,2022-09-18 01:59:19
137,Bharthana,IN,78.69,26.7571,79.2248,82,38,5.84,2022-09-18 01:59:19
138,Aykhal,RU,27.88,66.0,111.5,76,90,24.87,2022-09-18 01:59:20
139,Fortuna,US,62.91,40.5982,-124.1573,80,100,1.99,2022-09-18 01:56:26
140,Santa Fe,AR,72.0,-31.6333,-60.7,58,57,5.99,2022-09-18 02:00:20
141,Mar Del Plata,AR,58.08,-38.0023,-57.5575,92,100,15.99,2022-09-18 02:00:21
142,Kushiro,JP,70.75,42.975,144.3747,100,75,5.75,2022-09-18 02:00:21
143,Broome,US,67.68,42.2506,-75.833,79,54,4.0,2022-09-18 02:00:21
144,Owando,CG,69.89,-0.4819,15.8999,97,99,1.63,2022-09-18 02:00:22
145,Feijo,BR,77.38,-8.1642,-70.3536,65,13,2.51,2022-09-18 02:00:22
146,East London,ZA,63.86,-33.0153,27.9116,89,100,3.38,2022-09-18 02:00:23
147,Groningen,NL,52.02,53.25,6.75,86,75,6.91,2022-09-18 01:55:59
148,Westport,US,69.08,41.1415,-73.3579,87,7,8.01,2022-09-18 02:00:24
149,Takoradi,GH,74.12,4.8845,-1.7554,94,100,7.34,2022-09-18 02:00:24
150,Kununurra,AU,93.18,-15.7667,128.7333,29,10,5.75,2022-09-18 02:00:25
151,Estevan,CA,60.22,49.1334,-102.9842,75,100,8.48,2022-09-18 02:00:25
152,Ritchie,ZA,59.23,-29.038,24.6028,60,78,7.87,2022-09-18 02:00:26
153,Kutum,SD,71.71,14.2,24.6667,68,61,3.83,2022-09-18 02:00:26
154,Carmen,MX,81.88,18.6333,-91.8333,80,90,7.47,2022-09-18 01:57:56
155,Cururupu,BR,74.35,-1.8283,-44.8683,93,13,2.93,2022-09-18 02:00:27
156,Poum,NC,75.63,-20.2333,164.0167,69,7,5.44,2022-09-18 02:00:27
157,Kodiak,US,56.16,57.79,-152.4072,61,100,1.68,2022-09-18 02:00:28
158,Butaritari,KI,82.58,3.0707,172.7902,70,6,11.81,2022-09-18 02:00:28
159,Faya,SA,65.91,18.3851,42.4509,44,30,0.56,2022-09-18 02:00:29
160,Lavrentiya,RU,44.06,65.5833,-171.0,89,98,17.9,2022-09-18 02:00:29
161,San Antonio,US,87.06,29.4241,-98.4936,58,62,6.8,2022-09-18 01:56:30
162,Saldanha,ZA,55.24,-33.0117,17.9442,61,100,10.47,2022-09-18 02:00:30
163,Tiksi,RU,34.77,71.6872,128.8694,80,99,12.44,2022-09-18 02:00:30
164,San Jose,US,68.11,37.3394,-121.895,63,0,9.22,2022-09-18 01:59:50
165,Port Hardy,CA,54.63,50.6996,-127.4199,75,0,12.35,2022-09-18 02:00:27
166,Venice,US,75.99,27.0998,-82.4543,98,100,9.22,2022-09-18 01:58:34
167,Adre,TD,71.56,13.4667,22.2,80,100,6.64,2022-09-18 02:00:31
168,Sibenik,HR,55.38,43.7272,15.9058,58,0,5.01,2022-09-18 02:00:31
169,Zlotoryja,PL,48.96,51.1264,15.9198,88,100,14.2,2022-09-18 01:59:00
