City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
522,Thiruvarur,IN,10.7667,79.65,83.97,73,100,10.74,overcast clouds,09-18-2022 12:23:56
523,Labuhan,ID,-6.8844,112.2051,82.67,69,6,9.24,clear sky,09-18-2022 12:23:57
524,Aranjuez,ES,40.0311,-3.6025,83.68,42,65,13.27,broken clouds,09-18-2022 12:23:57
525,Pangody,RU,65.85,74.4859,56.01,47,64,18.92,broken clouds,09-18-2022 12:23:57
526,Russell,US,32.3502,-85.1999,66.96,94,0,0.0,clear sky,09-18-2022 12:23:58
527,Monroe,US,43.1501,-77.6831,71.55,85,75,9.22,broken clouds,09-18-2022 12:23:58
528,Mwense,ZM,-10.3845,28.698,99.91,13,77,3.11,broken clouds,09-18-2022 12:23:58
529,Soyo,AO,-6.1349,12.3689,78.3,72,100,8.55,overcast clouds,09-18-2022 12:23:59
530,Marsh Harbour,BS,26.5412,-77.0636,82.47,73,84,11.23,broken clouds,09-18-2022 12:23:59
531,Masunga,BW,-20.6246,27.4488,89.64,13,0,7.87,clear sky,09-18-2022 12:24:00
532,Kroya,ID,-7.6331,109.2461,78.35,80,98,6.38,overcast clouds,09-18-2022 12:24:00
533,Malakal,SS,9.5334,31.6605,87.17,59,62,1.83,broken clouds,09-18-2022 12:24:00
534,Palmer,US,42.1584,-72.3287,66.24,87,75,4.61,broken clouds,09-18-2022 12:24:01
535,Jilemnice,CZ,50.6089,15.5065,54.0,90,88,14.74,overcast clouds,09-18-2022 12:24:01
536,Zheleznodorozhnyy,RU,55.7503,38.0042,57.61,88,80,8.72,light rain,09-18-2022 12:24:02
537,Geraldton,AU,-28.7667,114.6,59.41,82,40,8.05,scattered clouds,09-18-2022 12:24:02
538,Hattiesburg,US,31.3271,-89.2903,70.83,100,0,0.0,mist,09-18-2022 12:23:31
539,Del Rio,US,29.3627,-100.8968,75.31,88,0,13.8,clear sky,09-18-2022 12:24:03
540,San Carlos De Bariloche,AR,-41.1456,-71.3082,39.24,88,75,8.05,light intensity drizzle,09-18-2022 12:20:28
541,Clonakilty,IE,51.6231,-8.8706,64.09,64,1,2.04,clear sky,09-18-2022 12:24:03
542,Skjervoy,NO,70.0311,20.9714,48.2,80,91,13.94,overcast clouds,09-18-2022 12:24:04
543,Truro,GB,50.2653,-5.0544,64.83,81,20,12.66,few clouds,09-18-2022 12:24:04
544,Andros Town,BS,24.7,-77.7667,84.16,66,74,11.01,broken clouds,09-18-2022 12:24:04
545,Maraba,BR,-5.3686,-49.1178,86.18,66,20,8.05,few clouds,09-18-2022 12:24:05
546,Coyah,GN,9.75,-13.4167,79.45,89,100,3.0,light rain,09-18-2022 12:24:05
547,Yenagoa,NG,4.9247,6.2642,84.43,65,97,8.34,light rain,09-18-2022 12:24:06
548,Babstovo,RU,48.1167,132.4833,56.46,65,39,8.99,scattered clouds,09-18-2022 12:24:06
549,Walvis Bay,NA,-22.9575,14.5053,67.15,55,0,9.22,clear sky,09-18-2022 12:24:06
550,Yazoo City,US,32.8551,-90.4056,67.69,85,0,4.74,clear sky,09-18-2022 12:24:07
551,Agirish,RU,61.9247,63.0231,57.09,59,27,13.67,scattered clouds,09-18-2022 12:24:07
552,Suntar,RU,62.1444,117.6319,34.79,61,68,8.79,broken clouds,09-18-2022 12:24:07
553,Verkhoyansk,RU,67.5447,133.385,38.03,51,89,5.64,light rain,09-18-2022 12:24:08
554,Orlik,RU,52.5178,99.825,39.56,61,29,1.48,scattered clouds,09-18-2022 12:24:08
555,Qadirpur Ran,PK,30.2924,71.6712,98.49,28,0,1.59,clear sky,09-18-2022 12:24:09
556,Ruidoso,US,33.3317,-105.673,64.51,58,0,3.44,clear sky,09-18-2022 12:24:09
557,Ionia,US,42.9873,-85.0711,68.2,95,75,6.91,broken clouds,09-18-2022 12:24:10
558,Zhangye,CN,38.9342,100.4517,61.3,68,100,14.54,overcast clouds,09-18-2022 12:24:10
559,Northport,US,33.229,-87.5772,69.08,94,75,3.44,mist,09-18-2022 12:24:11
560,Levelland,US,33.5873,-102.378,66.96,86,0,8.75,clear sky,09-18-2022 12:24:04
561,Jacareacanga,BR,-6.2222,-57.7528,79.86,77,79,1.95,broken clouds,09-18-2022 12:24:11
562,Huilong,CN,31.8111,121.655,79.93,79,8,18.34,clear sky,09-18-2022 12:24:11
563,Fort Nelson,CA,58.8053,-122.7002,36.99,93,40,0.0,scattered clouds,09-18-2022 12:24:12
564,Sorsk,RU,54.0033,90.2467,45.75,67,3,4.43,clear sky,09-18-2022 12:24:12
565,Halifax,CA,44.6453,-63.5724,58.44,81,100,8.05,overcast clouds,09-18-2022 12:22:55
566,Penzance,GB,50.1186,-5.5371,64.76,65,0,9.04,clear sky,09-18-2022 12:24:13
567,Pato Branco,BR,-26.2286,-52.6706,55.27,62,6,10.65,clear sky,09-18-2022 12:24:13
568,Ancud,CL,-41.8697,-73.8203,42.22,89,96,5.48,light rain,09-18-2022 12:24:14
569,Yar-Sale,RU,66.8333,70.8333,52.75,71,70,13.96,light rain,09-18-2022 12:24:14
570,Pevek,RU,69.7008,170.3133,32.7,91,100,19.95,overcast clouds,09-18-2022 12:24:15
571,Khovu-Aksy,RU,51.1333,93.6,45.32,62,32,1.88,scattered clouds,09-18-2022 12:24:15
572,Korla,CN,41.7597,86.1469,80.83,13,100,5.19,overcast clouds,09-18-2022 12:19:35
573,Tual,ID,-5.6667,132.75,81.72,77,83,11.72,broken clouds,09-18-2022 12:24:15
574,Salmas,IR,38.1973,44.7653,86.92,17,0,13.13,clear sky,09-18-2022 12:24:16
575,Varhaug,NO,58.6147,5.6457,59.14,70,82,22.91,broken clouds,09-18-2022 12:24:16
576,Baghdad,IQ,33.3406,44.4009,105.71,15,0,6.91,clear sky,09-18-2022 12:21:49
577,Dera Bugti,PK,29.0307,69.151,92.55,30,0,10.31,clear sky,09-18-2022 12:24:17
578,Port Hedland,AU,-20.3167,118.5667,73.45,68,8,8.05,clear sky,09-18-2022 12:24:17
579,Surt,LY,31.2089,16.5887,87.06,48,0,9.82,clear sky,09-18-2022 12:24:18
580,Vagur,FO,61.4732,-6.8119,48.58,71,95,11.56,overcast clouds,09-18-2022 12:24:18
581,Ibra,OM,22.6906,58.5334,106.34,10,3,17.76,clear sky,09-18-2022 12:24:18
582,Willowmore,ZA,-33.2926,23.4895,56.86,63,100,13.49,light rain,09-18-2022 12:24:19
583,Tiverton,GB,50.9,-3.4833,65.41,61,40,9.22,scattered clouds,09-18-2022 12:24:19
584,Ust-Kulom,RU,61.6864,53.6902,59.09,62,71,8.32,broken clouds,09-18-2022 12:24:20
585,Worland,US,44.0169,-107.9554,56.55,81,0,5.75,clear sky,09-18-2022 12:24:20
586,Kuryk,KZ,43.2,51.65,81.84,36,4,13.09,clear sky,09-18-2022 12:24:21
587,Vanimo,PG,-2.6741,141.3028,79.79,83,22,5.61,few clouds,09-18-2022 12:24:21
588,Kapit,MY,2.0167,112.9333,74.7,97,100,1.9,overcast clouds,09-18-2022 12:24:21
589,Westport,US,41.1415,-73.3579,70.9,86,0,5.01,clear sky,09-18-2022 12:24:22
590,Loa Janan,ID,-0.583,117.095,76.41,96,27,2.84,scattered clouds,09-18-2022 12:24:22
591,Hanna,CA,51.6334,-111.9018,41.5,68,68,3.67,broken clouds,09-18-2022 12:20:06
592,Port Augusta,AU,-32.5,137.7667,52.83,87,23,9.13,few clouds,09-18-2022 12:24:23
593,Plavsk,RU,53.7094,37.2919,54.18,97,100,11.97,light rain,09-18-2022 12:24:23
594,Chardara,KZ,41.2547,67.9692,86.16,20,2,14.32,clear sky,09-18-2022 12:24:23
595,Mhlambanyatsi,SZ,-26.45,31.0167,81.59,13,7,10.49,clear sky,09-18-2022 12:24:24
596,Winnemucca,US,40.973,-117.7357,46.45,61,75,4.61,broken clouds,09-18-2022 12:24:24
597,Kedougou,SN,12.5579,-12.1743,86.58,74,20,4.61,few clouds,09-18-2022 12:24:25
598,Shizunai,JP,42.3339,142.3669,69.15,95,100,3.89,light rain,09-18-2022 12:24:25
599,High Level,CA,58.5169,-117.136,32.11,93,40,0.0,scattered clouds,09-18-2022 12:24:25
600,Nampula,MZ,-15.1165,39.2666,89.55,23,40,13.8,scattered clouds,09-18-2022 12:24:26
601,Inhambane,MZ,-23.865,35.3833,84.18,65,0,23.02,clear sky,09-18-2022 12:24:26
602,Wajima,JP,37.4,136.9,78.62,91,100,12.46,heavy intensity rain,09-18-2022 12:24:26
603,Buala,SB,-8.145,159.5921,78.42,87,100,6.49,moderate rain,09-18-2022 12:24:27
604,Ewa Beach,US,21.3156,-158.0072,78.44,82,0,4.61,light intensity drizzle,09-18-2022 12:20:46
605,Camara De Lobos,PT,32.6333,-16.9667,79.72,86,40,11.5,scattered clouds,09-18-2022 12:24:27
606,Carballo,ES,43.213,-8.691,81.91,66,100,5.21,overcast clouds,09-18-2022 12:24:28
607,Sinfra,CI,6.6167,-5.9167,83.77,55,82,5.68,broken clouds,09-18-2022 12:24:28
608,Yichun,CN,47.7,128.9,50.59,65,100,12.06,overcast clouds,09-18-2022 12:24:28
609,Quatre Cocos,MU,-20.2078,57.7625,73.51,74,42,15.82,light rain,09-18-2022 12:24:29
610,Boende,CD,-0.2167,20.8667,88.41,47,99,1.5,overcast clouds,09-18-2022 12:24:29
611,Seoul,KR,37.5683,126.9778,81.84,69,0,10.36,clear sky,09-18-2022 12:24:30
612,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,60.58,61,84,15.12,broken clouds,09-18-2022 12:24:30
613,Lupiro,TZ,-8.3833,36.6667,92.82,24,70,6.42,broken clouds,09-18-2022 12:24:30
614,Cheney,US,47.4874,-117.5758,55.42,58,75,12.66,broken clouds,09-18-2022 12:21:34
615,Nishihara,JP,26.1842,127.7558,81.68,86,75,24.16,broken clouds,09-18-2022 12:24:31
616,Verkhnyaya Inta,RU,65.9811,60.3094,46.62,92,100,6.76,light rain,09-18-2022 12:24:31
617,Auki,SB,-8.7676,160.7034,77.77,89,100,5.59,overcast clouds,09-18-2022 12:24:32
618,Starkville,US,33.4504,-88.8184,62.47,100,0,0.0,clear sky,09-18-2022 12:24:32
619,Bilma,NE,18.6853,12.9164,98.98,24,85,4.74,overcast clouds,09-18-2022 12:24:33
620,Muroto,JP,33.2833,134.15,82.09,88,100,38.01,light rain,09-18-2022 12:24:21
621,Shimoda,JP,34.6667,138.95,80.1,93,100,10.13,moderate rain,09-18-2022 12:24:33
622,Avera,US,33.194,-82.5271,69.55,78,0,6.26,clear sky,09-18-2022 12:24:33
623,Bondoukou,CI,8.0333,-2.8,76.35,82,98,6.96,overcast clouds,09-18-2022 12:24:34
624,Culebra,PR,18.303,-65.301,78.89,91,100,52.75,heavy intensity rain,09-18-2022 12:24:34
625,Alta Floresta,BR,-9.8756,-56.0861,76.82,88,55,2.3,mist,09-18-2022 12:24:35
626,Dinar,TR,38.065,30.1656,91.36,15,0,12.03,clear sky,09-18-2022 12:24:35
627,Shubarkuduk,KZ,49.1447,56.4872,80.49,25,59,9.22,broken clouds,09-18-2022 12:24:35
628,Dhidhdhoo,MV,6.8833,73.1,82.02,74,88,10.4,overcast clouds,09-18-2022 12:24:36
629,Cedar City,US,37.6775,-113.0619,59.97,55,0,10.36,clear sky,09-18-2022 12:22:22
630,Sidi Ali,DZ,36.0998,0.4206,84.85,48,1,14.27,clear sky,09-18-2022 12:24:36
631,Kaabong,UG,3.4836,34.1492,80.31,38,31,13.18,scattered clouds,09-18-2022 12:24:37
632,Gore,NZ,-46.1028,168.9436,42.22,94,97,3.49,overcast clouds,09-18-2022 12:24:37
633,Sulmona,IT,42.0479,13.9291,76.55,19,0,4.92,clear sky,09-18-2022 12:24:38
